Time:9804,AccPitch:007.60, AccRoll:028.23
Time:9810,AccPitch:037.36, AccRoll:050.89
Time:9816,AccPitch:080.78, AccRoll:074.32
Time:9822,AccPitch:084.09, AccRoll:077.59
Time:9828,AccPitch:102.46, AccRoll:113.20
Time:9834,AccPitch:120.07, AccRoll:136.55
Time:9840,AccPitch:112.81, AccRoll:117.52
Time:9845,AccPitch:121.02, AccRoll:122.60
Time:9851,AccPitch:126.02, AccRoll:123.16
Time:9857,AccPitch:122.91, AccRoll:115.47
Time:9863,AccPitch:126.47, AccRoll:112.12
Time:9869,AccPitch:123.33, AccRoll:106.97
Time:9875,AccPitch:122.86, AccRoll:105.38
Time:9881,AccPitch:118.35, AccRoll:102.87
Time:9887,AccPitch:115.04, AccRoll:101.25
Time:9893,AccPitch:122.44, AccRoll:105.50
Time:9898,AccPitch:116.29, AccRoll:102.57
Time:9904,AccPitch:114.62, AccRoll:102.09
Time:9910,AccPitch:118.03, AccRoll:098.44
Time:9916,AccPitch:117.31, AccRoll:100.47
Time:9922,AccPitch:117.00, AccRoll:100.56
Time:9928,AccPitch:117.17, AccRoll:102.82
Time:9934,AccPitch:116.11, AccRoll:103.62
Time:9940,AccPitch:124.01, AccRoll:109.91
Time:9946,AccPitch:121.01, AccRoll:108.46
Time:9952,AccPitch:120.33, AccRoll:107.81
Time:9957,AccPitch:119.58, AccRoll:106.63
Time:9963,AccPitch:118.16, AccRoll:106.06
Time:9969,AccPitch:113.47, AccRoll:102.13
Time:9975,AccPitch:109.12, AccRoll:099.78
Time:9981,AccPitch:110.62, AccRoll:100.65
Time:9987,AccPitch:106.32, AccRoll:098.68
Time:9993,AccPitch:106.20, AccRoll:099.77
Time:9999,AccPitch:108.49, AccRoll:101.39
Time:10005,AccPitch:106.61, AccRoll:100.54
Time:10011,AccPitch:111.46, AccRoll:105.14
Time:10016,AccPitch:114.07, AccRoll:106.62
Time:10022,AccPitch:112.14, AccRoll:104.98
Time:10028,AccPitch:111.64, AccRoll:102.96
Time:10034,AccPitch:113.86, AccRoll:103.54
Time:10040,AccPitch:113.30, AccRoll:103.05
Time:10046,AccPitch:114.17, AccRoll:103.90
Time:10052,AccPitch:113.17, AccRoll:103.08
Time:10058,AccPitch:113.46, AccRoll:103.02
Time:10064,AccPitch:113.19, AccRoll:103.35
Time:10070,AccPitch:114.92, AccRoll:104.13
Time:10076,AccPitch:114.81, AccRoll:104.07
Time:10082,AccPitch:113.77, AccRoll:103.66
Time:10088,AccPitch:115.36, AccRoll:104.21
Time:10094,AccPitch:114.33, AccRoll:103.85
Time:10100,AccPitch:114.97, AccRoll:103.48
Time:10106,AccPitch:115.20, AccRoll:104.07
Time:10112,AccPitch:117.18, AccRoll:104.77
Time:10118,AccPitch:116.57, AccRoll:105.29
Time:10124,AccPitch:115.54, AccRoll:104.92
Time:10130,AccPitch:116.11, AccRoll:105.45
Time:10136,AccPitch:113.37, AccRoll:103.14
Time:10142,AccPitch:112.28, AccRoll:102.63
Time:10148,AccPitch:110.96, AccRoll:101.95
