Time:8760,AccPitch:110.18, AccRoll:101.91
Time:8766,AccPitch:109.88, AccRoll:101.54
Time:8772,AccPitch:109.04, AccRoll:101.14
Time:8778,AccPitch:108.79, AccRoll:100.78
Time:8784,AccPitch:109.36, AccRoll:101.16
Time:8790,AccPitch:109.25, AccRoll:101.43
Time:8796,AccPitch:110.30, AccRoll:101.80
Time:8802,AccPitch:107.11, AccRoll:100.21
Time:8807,AccPitch:107.50, AccRoll:100.30
Time:8813,AccPitch:108.92, AccRoll:100.60
Time:8819,AccPitch:108.68, AccRoll:101.13
Time:8825,AccPitch:108.93, AccRoll:100.91
Time:8831,AccPitch:109.74, AccRoll:101.67
Time:8837,AccPitch:108.64, AccRoll:100.83
Time:8843,AccPitch:109.72, AccRoll:101.45
Time:8849,AccPitch:110.74, AccRoll:101.89
Time:8855,AccPitch:110.49, AccRoll:101.84
Time:8861,AccPitch:108.92, AccRoll:101.28
Time:8866,AccPitch:108.57, AccRoll:101.09
Time:8872,AccPitch:109.21, AccRoll:101.45
Time:8878,AccPitch:109.54, AccRoll:101.24
Time:8884,AccPitch:109.37, AccRoll:101.43
Time:8890,AccPitch:109.04, AccRoll:100.84
Time:8896,AccPitch:109.63, AccRoll:101.24
Time:8902,AccPitch:108.70, AccRoll:101.01
Time:8908,AccPitch:108.40, AccRoll:100.78
Time:8914,AccPitch:108.12, AccRoll:100.71
Time:8919,AccPitch:108.64, AccRoll:101.13
Time:8925,AccPitch:108.64, AccRoll:100.94
Time:8931,AccPitch:108.83, AccRoll:101.16
Time:8937,AccPitch:107.96, AccRoll:100.44
Time:8943,AccPitch:111.17, AccRoll:102.21
Time:8949,AccPitch:109.72, AccRoll:101.56
Time:8955,AccPitch:110.27, AccRoll:102.14
Time:8961,AccPitch:110.37, AccRoll:102.04
Time:8967,AccPitch:109.28, AccRoll:101.41
Time:8973,AccPitch:106.87, AccRoll:099.65
Time:8978,AccPitch:108.42, AccRoll:101.05
Time:8984,AccPitch:108.47, AccRoll:100.65
Time:8990,AccPitch:108.85, AccRoll:101.05
Time:8996,AccPitch:108.47, AccRoll:100.87
Time:9002,AccPitch:109.19, AccRoll:101.43
Time:9008,AccPitch:110.01, AccRoll:101.70
Time:9014,AccPitch:108.31, AccRoll:100.95
Time:9020,AccPitch:108.43, AccRoll:100.86
Time:9026,AccPitch:108.66, AccRoll:100.84
Time:9031,AccPitch:109.41, AccRoll:101.43
Time:9037,AccPitch:107.81, AccRoll:100.58
Time:9043,AccPitch:109.02, AccRoll:101.30
Time:9049,AccPitch:109.53, AccRoll:101.50
Time:9055,AccPitch:108.19, AccRoll:100.68
Time:9061,AccPitch:108.65, AccRoll:100.65
